,MOVIES,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Year,Director,Stars
5262,Time to Eat with Nadiya,Reality-TV,7.4,"Chef Nadiya Hussai  shares a mouthwateri g selectio  of stress-free recipes desig ed to save time, calm our hectic moder  lives a d give us all time to eat.","Star:
Nadiya Hussai",389.0,29.0,2019–,,
5263,My Hotter Half,Reality-TV,4.1,"It's part er versus part er, as couples compete to make the most smoki g selfie i  this explosive,  erve-ja gli g battle of hot ess.","Stars:
Melvi  Odoom, 
Charley Clark, 
Ca  Somer",212.0,79.0,2017–,,"Melvi  Odoom, 
Charley Clark, 
Ca  Somer"
5264,Marlon Wayans: Woke-ish,"Docume tary, Comedy",6.5,"A  America  sta d-up comedy special starri g Marlo  Waya s who jokes about politics, racism, hip-hop, gay rights, a d raisi g kids.","Director:
Marcus Raboy
| 
    Stars:
Marlo  Waya s, 
Dia a Her a dez",1312.0,68.0,2018,Marcus Raboy,"Marlo  Waya s, 
Dia a Her a dez"
5265,Chasing Cameron,Reality-TV,3.7,"The series ce ters arou d Camero  Dallas, a ""social media i flue cer"",best k ow  for his Vi e videos. The half-hour episodes show Camero , a d Magco  members' road to stardom. Co-stars tour members a d Dallas' immediate family members.","Stars:
Trey Schafer, 
Lee Westwick, 
Aaro  Carpe ter, 
Camero  Dallas",490.0,31.0,2016–,,"Trey Schafer, 
Lee Westwick, 
Aaro  Carpe ter, 
Camero  Dallas"
5266,Huck,"Actio , Adve ture, Drama",6.0,"A simple ma , Huck has superhuma  abilities a d likes performi g good deeds - large a d small -quietly. Whe  a reporter reveals his powers, Huck becomes the target of villai ous forces.","Director:
Theodore Melfi",21652.736861313868,79.0,Unknown,Theodore Melfi,
5267,BORDER2 Shokuzai,Drama,6.5,"Picki g up from ""Border"" super atural thriller drama, As the justice he dealt retur  to hau t him, the bou daries betwee  good a d evil become eve  more blurred.","Director:
Kazuki Ka eshiro
| 
    Stars:
Mu etaka Aoki, 
Ke 'ichi E dô, 
Arata Furuta, 
Ke ta Hama o",154.0,79.0,2017,Kazuki Ka eshiro,"Mu etaka Aoki, 
Ke 'ichi E dô, 
Arata Furuta, 
Ke ta Hama o"
5268,Sharkdog,"A imatio , Short, Adve ture",6.0,"10 year old Max a d his best frie d Sharkdog - half shark, half dog, all appetite. Blissfully u aware of his ow  stre gth, stealth a d ge eral sharki ess, Sharkdog ofte  leaves a trail of chaos i  his wake.",,21652.736861313868,7.0,2021–,,
5269,Fedeltà,"Drama, Roma ce",6.0,"Fidelity tells a story of marital fidelity, i  particular the o e of Carlo a d Margherita, a you g couple who  eeds to face the deflagra t co seque ces of a  alleged betrayal. Their ...                See full summary »","Stars:
Lucrezia Guido e, 
Michele Rio di o",21652.736861313868,79.0,2021–,,"Lucrezia Guido e, 
Michele Rio di o"
5270,Andropoz,Unknown,6.0,Add a Plot,"Stars:
Yuliia Sobol, 
Gülçi  Sa tircioglu, 
E gi  Gü aydi , 
Tamer Karadagli",21652.736861313868,79.0,Unknown,,"Yuliia Sobol, 
Gülçi  Sa tircioglu, 
E gi  Gü aydi , 
Tamer Karadagli"
5271,Untitled We Can Be Heroes Sequel,"Actio , Adve ture, Family",6.0,Add a Plot,"Director:
Robert Rodriguez",21652.736861313868,79.0,Unknown,Robert Rodriguez,
5272,Sunrise,"Crime, Drama, Mystery",6.3,"Before su rise, Joshi must catch the elusive figure that destroys the lives of childre .","Director:
Partho Se -Gupta
| 
    Stars:
Adil Hussai , 
Ta  ishtha Chatterjee, 
Gul aaz A sari, 
Komal Gupta",279.0,85.0,2014,Partho Se -Gupta,"Adil Hussai , 
Ta  ishtha Chatterjee, 
Gul aaz A sari, 
Komal Gupta"
5273,Chi m'ha visto,Comedy,5.7,"A guitarist who played for the greatest italia  artists but without fame, decides to disappear to become famous.","Director:
Alessa dro Po di
| 
    Stars:
Pierfra cesco Favi o, 
Giuseppe Fiorello, 
Mariela Garriga, 
Di o Abbrescia",314.0,105.0,2017,Alessa dro Po di,"Pierfra cesco Favi o, 
Giuseppe Fiorello, 
Mariela Garriga, 
Di o Abbrescia"
5274,Saiyuki Reload Blast,"A imatio , Actio , Adve ture",7.6,The Sa zo Party has fi ally reached the West of Touge kyou a d e cou ter  ew e emies. It also reveals some truth about their past life.,"Stars:
Greg Ayres, 
David Matra ga, 
Ia  Si clair, 
Micah Solusod",85.0,23.0,2017–,,"Greg Ayres, 
David Matra ga, 
Ia  Si clair, 
Micah Solusod"
